season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
1985,288,73,0,-3,-9,41,50,0,-3.601452
1985,5929,73,0,4,6,61,55,1,0.474164
1985,9884,73,0,5,-4,59,63,0,-0.414316
1985,73,288,0,3,9,50,41,1,3.601452
1985,3920,410,0,1,-9,54,63,0,8.176179
1985,8405,410,0,8,3,68,65,1,8.228652
1985,4149,513,0,8,-2,64,66,0,0.824334
1985,6281,513,0,9,6,62,56,1,4.695697
1985,7201,513,0,5,-1,58,59,0,2.819751
1985,2340,764,0,8,-1,73,74,0,8.649769
1985,5077,764,0,9,2,59,57,1,5.473691
1985,8984,764,0,5,-2,53,55,0,0.003181
1985,10020,2082,0,1,2,51,49,1,0.81737
1985,8662,2204,0,3,5,70,65,1,-0.052106
1985,764,2340,0,-8,1,74,73,1,-8.649769
1985,6966,2340,0,-11,-13,62,75,0,-15.456944
1985,5212,2675,0,15,4,59,55,1,25.653147
1985,3234,3132,0,-1,-6,54,60,0,-4.038165
1985,4400,3132,0,-15,-25,43,68,0,-32.865038
1985,4698,3132,0,-3,-12,53,65,0,-10.070142
1985,8405,3132,0,0,-18,59,77,0,-2.775337
1985,8746,3132,0,-7,-17,46,63,0,-13.062736
1985,10020,3132,0,-7,2,66,64,1,-10.324139
1985,3745,3166,0,3,16,74,58,1,2.734931
1985,10564,3166,0,-5,-8,59,67,0,-6.958953
1985,3132,3234,0,1,6,60,54,1,4.038165
1985,3745,3234,0,-1,-8,53,61,0,2.731404
1985,5111,3234,0,-13,-7,58,65,0,-16.431005
1985,8662,3234,0,-5,-17,53,70,0,-4.229987
1985,3166,3745,0,-3,-16,58,74,0,-2.734931
1985,3234,3745,0,1,8,61,53,1,-2.731404
1985,6372,3745,0,-11,-19,57,76,0,-16.574684
1985,6664,3779,0,8,6,75,69,1,10.323451
1985,9663,3779,0,1,-3,55,58,0,0.04784
1985,4698,3886,0,9,1,59,58,1,7.489743
1985,410,3920,0,-1,9,63,54,1,-8.176179
1985,6629,3954,0,9,11,75,64,1,3.640635
1985,513,4149,0,-8,2,66,64,1,-0.824334
1985,6595,4149,0,-11,-11,38,49,0,-6.969901
1985,8405,4264,0,11,16,86,70,1,5.673486
1985,9629,4264,0,8,-3,61,64,0,-2.3338
1985,10366,4264,0,7,-8,58,66,0,0.167065
1985,3132,4400,0,15,25,68,43,1,32.865038
1985,6629,4562,0,1,-12,67,79,0,3.420297
1985,6664,4562,0,4,2,86,84,1,9.261292
1985,7000,4562,0,-7,-24,54,78,0,-2.204847
1985,3132,4698,0,3,12,65,53,1,10.070142
1985,3886,4698,0,-9,-1,58,59,0,-7.489743
1985,8059,4698,0,-1,-13,57,70,0,1.516668
1985,5850,4732,0,-9,23,78,55,1,-7.511886
1985,9884,4907,0,13,16,81,65,1,12.36429
1985,5178,4941,0,-7,-1,68,69,0,-7.840573
1985,5850,4941,0,-8,-5,59,64,0,-8.699646
1985,10020,4941,0,-3,3,46,43,1,-4.429564
1985,764,5077,0,-9,-2,57,59,0,-5.473691
1985,6664,5077,0,1,-2,61,63,0,3.207455
1985,6898,5077,0,-13,-12,55,67,0,-19.859617
1985,9269,5077,0,-5,-1,66,67,0,-6.795742
1985,10020,5077,0,-6,7,52,45,1,-5.703748
1985,3234,5111,0,13,7,65,58,1,16.431005
1985,4941,5178,0,7,1,69,68,1,7.840573
1985,2675,5212,0,-15,-4,55,59,0,-25.653147
1985,10020,5212,0,-7,4,59,55,1,-9.956243
1985,9269,5246,0,3,2,70,68,1,-5.304193
1985,6281,5715,0,13,19,76,57,1,18.297986
1985,4732,5850,0,9,-23,55,78,0,7.511886
1985,4941,5850,0,8,5,64,59,1,8.699646
1985,6664,5884,0,15,13,96,83,1,25.817776
1985,73,5929,0,-4,-6,55,61,0,-0.474164
1985,6012,5929,0,-11,-9,56,65,0,-11.337393
1985,8405,5929,0,2,9,69,60,1,2.415384
1985,9847,5929,0,-8,-13,73,86,0,-7.004179
1985,5929,6012,0,11,9,65,56,1,11.337393
1985,513,6281,0,-9,-6,56,62,0,-4.695697
1985,5715,6281,0,-13,-19,57,76,0,-18.297986
1985,6542,6281,0,-5,-2,58,60,0,-5.491488
1985,10020,6281,0,-6,12,56,44,1,-6.015619
1985,3745,6372,0,11,19,76,57,1,16.574684
1985,6281,6542,0,5,2,60,58,1,5.491488
1985,6830,6542,0,-3,-9,70,79,0,-2.059204
1985,4149,6595,0,11,11,49,38,1,6.969901
1985,3954,6629,0,-9,-11,64,75,0,-3.640635
1985,4562,6629,0,-1,12,79,67,1,-3.420297
1985,3779,6664,0,-8,-6,69,75,0,-10.323451
1985,4562,6664,0,-4,-2,84,86,0,-9.261292
1985,5077,6664,0,-1,2,63,61,1,-3.207455
1985,5884,6664,0,-15,-13,83,96,0,-25.817776
1985,8059,6732,0,7,17,85,68,1,3.993006
1985,6542,6830,0,3,9,79,70,1,2.059204
1985,5077,6898,0,13,12,67,55,1,19.859617
1985,2340,6966,0,11,13,75,62,1,15.456944
1985,4562,7000,0,7,24,78,54,1,2.204847
1985,513,7201,0,-5,1,59,58,1,-2.819751
1985,9629,7693,0,9,5,85,80,1,2.410782
1985,4698,8059,0,1,13,70,57,1,-1.516668
1985,6732,8059,0,-7,-17,68,85,0,-3.993006
1985,8405,8239,0,15,24,83,59,1,16.855071
1985,410,8405,0,-8,-3,65,68,0,-8.228652
1985,3132,8405,0,0,18,77,59,1,2.775337
1985,4264,8405,0,-11,-16,70,86,0,-5.673486
1985,5929,8405,0,-2,-9,60,69,0,-2.415384
1985,8239,8405,0,-15,-24,59,83,0,-16.855071
1985,2204,8662,0,-3,-5,65,70,0,0.052106
1985,3234,8662,0,5,17,70,53,1,4.229987
1985,3132,8746,0,7,17,63,46,1,13.062736
1985,10088,8746,0,-1,-3,57,60,0,7.082052
1985,764,8984,0,-5,2,55,53,1,-0.003181
1985,9847,9167,0,-5,4,79,75,1,-3.509202
1985,5077,9269,0,5,1,67,66,1,6.795742
1985,5246,9269,0,-3,-2,68,70,0,5.304193
1985,4264,9629,0,-8,3,64,61,1,2.3338
1985,7693,9629,0,-9,-5,80,85,0,-2.410782
1985,3779,9663,0,-1,3,58,55,1,-0.04784
1985,5929,9847,0,8,13,86,73,1,7.004179
1985,9167,9847,0,5,-4,75,79,0,3.509202
1985,73,9884,0,-5,4,63,59,1,0.414316
1985,4907,9884,0,-13,-16,65,81,0,-12.36429
1985,2082,10020,0,-1,-2,49,51,0,-0.81737
1985,3132,10020,0,7,-2,64,66,0,10.324139
1985,4941,10020,0,3,-3,43,46,0,4.429564
1985,5077,10020,0,6,-7,45,52,0,5.703748
